VARIAN NAME,FRAGRANT,FORMULA,AQUADEST,ALKOHOL,GENDER,JENIS,UKURAN,HARGA,Cluster,Silhouette
LELIDO Mystic,INVITAS MOOD,8.3,5.0,86.7,UNISEX,EDP,100.0,200000,2,0.1288994342435654
LELIDO WARM VANILLA HUGS,VANILLA,2.29,10.0,87.71,UNISEX,EDP,200.0,200000,2,0.3951492346905185
MADAM Aqua,NOCTURNE,7.6,5.0,87.4,COWO,EDP,100.0,200000,2,0.12746271009306223
MADAM Bloom,BLOOMING TON,8.9,10.0,81.1,COWO,EDP,50.0,177200,1,0.46549511538497873
MADAM Elegant,LASPOZAS,5.7,10.0,84.3,COWO,EDP,100.0,200000,2,0.48451550559360224
MADAM Elegant,VANILLATAGAT,9.2,10.0,80.8,UNISEX,SP,50.0,177400,1,0.4606980736657916
MADAM Fresh,MY KNIGHT,5.1,5.0,89.9,UNISEX,SP,50.0,176600,1,0.5783490612134579
MADAM GIE ALTHEA,SIVIRA,18.45,5.0,76.55,UNISEX,SP,30.0,152000,0,0.29731914172975116
MADAM GIE GUINEVERE,LIBERICA,6.62,5.0,88.38,CEWE,BM,30.0,146600,0,0.27067134766358414
MADAM GIE JULIETEE,EXPLOISON,13.14,5.0,81.86,CEWE,BM,30.0,149600,0,0.41290979150477375
MADAM GIE PERCY,BE FABULOUS,14.91,5.0,80.09,CEWE,EDP,30.0,150400,0,0.37771149368402085
MADAM Mystic,PARISIA CANE,8.8,5.0,86.2,CEWE,EDP,50.0,179400,1,0.6287530964508911
MINISO Aqua,NIGHT CLUB IRISH,5.2,10.0,84.8,UNISEX,EDP,50.0,174400,1,0.46064900082428195
MINISO Bloom,AGGRESSIVE BOY,8.5,5.0,86.5,CEWE,BM,50.0,179100,1,0.6290441676544855
MINISO Bloom,NAZRIL,15.0,5.0,80.0,CEWE,BM,50.0,184000,1,0.5415689856733752
MINISO Elegant,GIRLS DAY OUT,5.2,10.0,84.8,CEWE,BM,100.0,200000,2,0.47981326149202796
MINISO ETERNAL VOW MR,INVICTORUS,15.0,5.0,80.0,UNISEX,EDT,50.0,184000,1,0.5415689856733752
MINISO ETERNAL VOW MRS,CRAZY FOR YOU,15.0,5.0,80.0,UNISEX,EDT,50.0,184000,1,0.5415689856733752
MINISO Mystic,WILD ROSE+MAGNOLIA,15.0,5.0,80.0,UNISEX,EDT,50.0,184000,1,0.5415689856733752
MINISO SOULMATE BOYFRIEND,BLUE EROS,15.0,5.0,80.0,UNISEX,EDT,50.0,184000,1,0.5415689856733752
MINISO SOULMATE GIRLFRIEND,WILD ROSE+MAGNOLIA,15.0,5.0,80.0,UNISEX,EDT,50.0,184000,1,0.5415689856733752
MYKONAS BLACK OPERA,LOVE ENTHUSIAST,25.41,10.0,64.59,CEWE,EDP,100.0,200000,2,0.016925786323121313
MYKONAS Bloom,HERO IS YOU,9.2,5.0,85.8,CEWE,EDT,100.0,200000,2,0.1251244666492732
MYKONAS Elegant,SECRET SPELL,9.4,5.0,85.6,CEWE,EDT,100.0,200000,2,0.12336120420530378
MYKONAS Elegant,AMBAR,6.5,10.0,83.5,CEWE,EDT,50.0,175400,1,0.473274327161099
MYKONAS Fresh,PETALS IN SAND,8.6,5.0,86.4,CEWE,EDP,50.0,179200,1,0.6290680485241429
MYKONAS Fresh,BE FABULOUS,7.0,5.0,88.0,CEWE,BM,100.0,200000,2,0.1254860532462303
MYKONAS Mystic,MADLY IN LOVE,8.9,5.0,86.1,CEWE,BM,100.0,200000,2,0.12720085175323578
MYKONAS Mystic,POPCORN CARAMEL,9.2,5.0,85.8,CEWE,EDP,50.0,179600,1,0.6282890222539212
MYKONAS Mystic,INVICTORUS,7.1,10.0,82.9,CEWE,BM,100.0,200000,2,0.4889386505034355
MYKONOS ADELINA,ELIANA ECON,22.73,5.0,72.27,CEWE,BM,50.0,189800,1,0.2566968542761763
MYKONOS APRODITE,VANILLATAGAT,6.0,5.0,89.0,CEWE,EDT,50.0,177200,1,0.5976672738680925
MYKONOS APRODITE,ANGEL+VANILLA+TAGAT,48.78,10.0,41.22,CEWE,EDT,100.0,200000,3,0.42933748994538073
MYKONOS Aqua,AMBROSIA,8.5,10.0,81.5,CEWE,EDT,50.0,176900,1,0.4705973135384221
MYKONOS Aqua,VICTORY FM,5.6,10.0,84.4,CEWE,EDT,50.0,174700,1,0.4659040217120208
MYKONOS BABY LOVE ,SWEET BABY,9.8,10.0,80.2,CEWE,EDT,125.0,200000,2,0.4850013314206345
MYKONOS BABY LOVE ,SWEET BABY,14.81,5.0,80.19,CEWE,EDT,50.0,183900,1,0.5446742839211224
MYKONOS BERRY CARAMEL PANCAKE,VANILLA PANCAKE,10.26,5.0,84.74,CEWE,EDP,50.0,180400,1,0.6177252777536265
MYKONOS BLAZE,INVITAS MOOD,28.3,10.0,61.7,CEWE,EDP,100.0,200000,3,0.13681899497391517
MYKONOS Bloom,EXPLOISON,9.3,10.0,80.7,CEWE,EDP,100.0,200000,2,0.4643487168926309
MYKONOS BLOSSOM,BLOOMING CHARM,9.15,10.0,80.85,UNISEX,EDT,125.0,200000,2,0.4916409991991951
MYKONOS BLOSSOM,BLOOMING CHARM,33.44,5.0,61.56,UNISEX,EDT,50.0,197800,3,0.408661877490289
MYKONOS BONFIRE VANILLA,SWISSKISS+VANILLA+TAGAT,40.0,5.0,55.0,CEWE,EDT,50.0,200000,3,0.5164276104508201
MYKONOS BOUJEE,LIBERARY LOVE,30.0,5.0,65.0,COWO,EDT,50.0,195200,3,0.2659385905501147
MYKONOS CALIFORNIA SIGNATURE,AGGRESSIVE BOY,25.0,10.0,65.0,UNISEX,EDT,100.0,200000,2,0.04484690782762917
MYKONOS CARAMEL FUDGE COOKIE,POPCORN CARAMEL,26.09,5.0,68.91,COWO,EDT,50.0,192300,3,-0.009145255210105906
MYKONOS COCONUT DREAM,COCO+DELICA,38.86,5.0,56.14,COWO,EDT,50.0,200000,3,0.5054022888418557
MYKONOS DARK SECRET,KAMRAH,45.0,5.0,50.0,COWO,EDT,3.5,107500,0,0.308894179798229
MYKONOS DARK SECRET,KAMRAH,45.0,10.0,45.0,CEWE,BS,100.0,200000,3,0.42802830889977533
MYKONOS DARK SECRET,KAMRAH,45.0,5.0,50.0,CEWE,BS,15.0,132000,0,0.1730038974201477
MYKONOS DOLCE CHERRY,DISCOVER+FESTIVAL+VANILLA,34.91,5.0,60.09,CEWE,BS,50.0,198900,3,0.4454077430669536
MYKONOS Elegant,BIG HUGS,6.9,5.0,88.1,CEWE,BS,50.0,177900,1,0.614331014731968
MYKONOS ENCHANTED,BLOOMING TON,33.33,5.0,61.67,CEWE,BS,50.0,197700,3,0.40538283613398796
MYKONOS IVORY,GROVY,8.0,10.0,82.0,CEWE,BS,125.0,200000,2,0.4983734943871708
MYKONOS MATCHA LATTE,ZEN DROPS+VANILLA+TAGAT,49.61,5.0,45.39,CEWE,BS,50.0,200000,3,0.5325686292711579
MYKONOS MATCHA SUNDAY,ZEN DROPS,7.0,10.0,83.0,CEWE,BS,115.0,200000,2,0.5061308777945297
MYKONOS MOROCCAN VANILLA,MANZIRA,17.91,10.0,72.09,CEWE,EDP,100.0,200000,2,0.2983975931549037
MYKONOS Mystic,PERFECTION MOD,7.4,10.0,82.6,CEWE,EDP,100.0,200000,2,0.48832479127492834
MYKONOS PARADISE,TAHITI DREAM,40.0,5.0,55.0,CEWE,EDP,50.0,200000,3,0.5164276104508201
MYKONOS PINK BEACH,SOKOVIA BALADIA,46.0,5.0,49.0,CEWE,EDP,50.0,200000,3,0.5364229976361938
MYKONOS PISTACHIO,ICE CREAM+VANILLA,35.0,5.0,60.0,CEWE,EDP,50.0,199000,3,0.44728374473524124
MYKONOS ROSSY,ROSE+PINK PEPPER,7.0,10.0,83.0,UNISEX,EDP,115.0,200000,2,0.5061308777945297
MYKONOS SANSA,SECRET SPELL,32.29,10.0,57.71,UNISEX,BM,100.0,200000,3,0.2882092072078163
MYKONOS SANSA,SECRET SPELL,28.36,10.0,61.64,CEWE,EDP,100.0,200000,3,0.13981775441924515
MYKONOS SATIN BLANC,YASMIN WHISPER,40.0,5.0,55.0,CEWE,EDP,3.5,107200,0,0.37681948869306964
MYKONOS SENJA,WHITE MANTRA+VANILLA,28.5,5.0,66.5,CEWE,EDT,50.0,194100,3,0.17826723545397782
MYKONOS SENJA,WHITE MANTRA+VANILLA,28.5,10.0,61.5,CEWE,EDT,100.0,200000,3,0.14645809062817303
MYKONOS SILTTOS,HERO IS YOU,8.98,10.0,81.02,CEWE,EDT,125.0,200000,2,0.49303791849908385
MYKONOS SILTTOS,HERO IS YOU,22.46,5.0,72.54,COWO,EDT,50.0,189600,1,0.2763395351847031
MYKONOS SLOW LIVING,GOLDEN CELESTIAL,9.57,5.0,85.43,CEWE,EDP,50.0,179900,1,0.6257530276139323
MYKONOS SPARKLING ROSE,DEEP MOUNTAIN,37.0,5.0,57.26,CEWE,EDP,3.5,107100,0,0.40419096956624256
MYKONOS SPARKLING ROSE,DEEP MOUNTAIN,37.0,10.0,53.0,CEWE,EDP,100.0,200000,3,0.37967889633048757
MYKONOS VANILLACLOUDS,SWEET HOPE,25.6,5.0,69.4,CEWE,EDP,50.0,192000,3,-0.05205009977118321
MYKONOS VERVE,URBAN HEEL,50.0,5.0,45.0,COWO,EDP,50.0,200000,3,0.5313564087255154
MYKONOS WHEN IN PARIS,TARINA,21.66,5.0,73.34,CEWE,EDP,50.0,189000,1,0.33092899182852337
MYKONOS XOXO ROSY,ROSE+PINK PEPPER,21.0,5.0,74.0,CEWE,EDP,50.0,188500,1,0.3724203682896125
MYKONOS ZORA,VANILA,32.0,5.0,63.0,CEWE,EDP,50.0,196800,3,0.3587069781942643
MYKONOS ZORA,EMBRACER+VANILLA ,32.68,5.0,62.32,CEWE,EDP,50.0,197300,3,0.3842229144617583
MYKONOS ZORA,EMBRACER+VANILLA ,32.68,10.0,57.32,CEWE,EDP,100.0,200000,3,0.29858256523974686
NAOMI AMBER ROMANCE,AMBROSIA,3.19,10.0,86.81,CEWE,EDP,100.0,200000,2,0.43738947482651974
NAOMI Aqua,VICTORY,5.9,10.0,84.1,CEWE,EDP,100.0,200000,2,0.4858578071817721
NAOMI Bloom,TROUPE,7.8,10.0,82.2,CEWE,EDP,100.0,200000,2,0.48603084339842684
NAOMI Bloom,NOCTURNE,6.2,10.0,83.8,CEWE,EDP,100.0,200000,2,0.4874172606547936
NAOMI Elegant,VANILA,5.7,10.0,84.3,CEWE,EDP,50.0,174800,1,0.466879341553708
NAOMI FLORAL PEACH,SWEETY IMPRESS,3.92,10.0,86.08,CEWE,EDP,100.0,200000,2,0.4556162990525421
NAOMI Fresh,CASCAVEL,5.5,10.0,84.5,CEWE,EDP,100.0,200000,2,0.48300356426037283
NAOMI Fresh,SERENDIPTY,9.3,5.0,85.7,CEWE,EDP,100.0,200000,2,0.12433779976384454
NAOMI FRUIT PASSION,GIRLS DAY OUT,3.39,10.0,86.61,CEWE,EDP,100.0,200000,2,0.44253482124920507
NAOMI HIDDEN LOVE,STAR LIGHT,3.14,10.0,86.86,CEWE,EDP,100.0,200000,2,0.43606754715656876
NAOMI JUICE PEAR,GLOW UP,3.0,10.0,87.0,CEWE,EDP,100.0,200000,2,0.43215700542074104
NAOMI KISS ME BERRIES,PURE PURITY,5.0,10.0,85.0,COWO,EDP,100.0,200000,2,0.4767724466038716
NAOMI Mystic,ROSE+PINK PEPPER,5.0,5.0,90.0,CEWE,EDP,50.0,176500,1,0.5759084416164356
NAOMI Mystic,PETALS IN SAND,8.8,10.0,81.2,CEWE,EDP,50.0,177100,1,0.467122301243795
NAOMI Mystic,ZEN DROPS+VANILLA+TAGAT,8.7,5.0,86.3,CEWE,EDP,100.0,200000,2,0.12830148039342812
NAOMI Mystic,ROSE+PINK PEPPER,5.4,10.0,84.6,CEWE,EDP,50.0,174600,1,0.46331317443027836
NAOMI Mystic,PARISIA CANE,7.0,5.0,88.0,CEWE,EDP,100.0,200000,2,0.1254860532462303
NAOMI SWEET VANILLA,SWEET VANILLA PERFECT,4.74,10.0,85.26,CEWE,EDP,100.0,200000,2,0.47221451438149586
NAOMI TENDER MUSK,WHISPER ROMA,3.79,10.0,86.21,COWO,EDP,100.0,200000,2,0.4525364301181441
REALMAN Elegant,NAZRIL,8.6,10.0,81.4,CEWE,EDP,100.0,200000,2,0.4766218096524523
REALMAN Fresh,CHEERS WITH ME,9.1,10.0,80.9,COWO,EDP,50.0,177300,1,0.4627174246138753
REALMAN Mystic,SUPER BOWL,7.0,10.0,83.0,UNISEX,BM,100.0,200000,2,0.48896783415459333
REALMAN Mystic,BASE ,8.4,10.0,81.6,UNISEX,BM,100.0,200000,2,0.4794690035581245
REALMAN Mystic,GIRLS DAY OUT,8.4,5.0,86.6,CEWE,BM,100.0,200000,2,0.12886699755708902
REALMAN Mystic,HAPPINES,9.3,5.0,85.7,CEWE,BM,100.0,200000,2,0.12433779976384454
REALMAN PURE COLOGNE,WINNER,9.87,10.0,80.13,CEWE,BM,100.0,200000,2,0.4528986902842334
REALMAN PURE ORIENTAL,DE ORCHID,4.3,10.0,85.7,UNISEX,BM,100.0,200000,2,0.4639412076651392
REALMAN PURE SPICY,AGGRESSIVE BOY,4.55,10.0,85.45,CEWE,BM,100.0,200000,2,0.46873995427663895
SAFF&CO Bloom,LOUI,6.5,5.0,88.5,CEWE,BM,100.0,200000,2,0.12268719343961895
SAFF&CO CASCAVEL,CASCAVEL,55.0,0.0,45.0,CEWE,BM,30.0,169800,3,0.4047900360046222
SAFF&CO COCO,COCO,55.0,0.0,45.0,CEWE,BM,30.0,169800,3,0.4047900360046222
SAFF&CO LASPOZAS,LASPOZAS,55.0,0.0,45.0,UNISEX,EDP,30.0,169800,3,0.4047900360046222
SAFF&CO LOUI,LOUI,55.0,0.0,45.0,UNISEX,EDP,30.0,169800,3,0.4047900360046222
SAFF&CO OMNIA,OMNIA,55.0,0.0,45.0,UNISEX,EDP,30.0,169800,3,0.4047900360046222
SAFF&CO OSTARA,OSTARA,55.0,0.0,45.0,UNISEX,EDP,30.0,169800,3,0.4047900360046222
SAFF&CO SAFF,SAFF,55.0,0.0,45.0,UNISEX,EDP,30.0,169800,3,0.4047900360046222
SAFF&CO SOLARIS,SOLARIS,55.0,0.0,45.0,CEWE,BM,30.0,169800,3,0.4047900360046222
SAFF&CO SOTB,SOTB,55.0,0.0,45.0,CEWE,BM,30.0,169800,3,0.4047900360046222
SAFF&CO TROUPE,TROUPE,55.0,0.0,45.0,CEWE,BM,30.0,169800,3,0.4047900360046222
VERBENA ACQUA,VICTORY FM,8.33,10.0,81.67,CEWE,BM,100.0,200000,2,0.4803792489224136
VERBENA ADMIRE,NAVINA PRIMA,8.7,10.0,81.3,CEWE,BM,100.0,200000,2,0.4751117094710443
VERBENA ALLURE,AGGRESSIVE BOY,5.03,10.0,84.97,CEWE,BM,100.0,200000,2,0.47724936965331965
VERBENA AMOUR,CHIFON,5.0,10.0,85.0,CEWE,BM,250.0,200000,2,0.3498132028875895
VERBENA AMOUR,CHIFON,5.0,10.0,85.0,CEWE,BM,100.0,200000,2,0.4767724466038716
VERBENA Aqua,CHEERS WITH ME,8.2,5.0,86.8,CEWE,BM,100.0,200000,2,0.12883843698755243
VERBENA Aqua,LIBERICA,7.8,5.0,87.2,CEWE,BM,50.0,178600,1,0.6257792906951883
VERBENA Aqua,LIBRARY OF LOVE,5.4,10.0,84.6,CEWE,BM,100.0,200000,2,0.4820794668115313
VERBENA BACCA ROUGE,ROUGH BACCA,3.13,10.0,86.87,CEWE,BM,100.0,200000,2,0.43579521999897824
VERBENA Bloom,GIRLS DAY OUT,9.4,5.0,85.6,CEWE,BM,50.0,179800,1,0.6269064380337354
VERBENA BLOOMS,BOMBSHELL,7.95,10.0,82.05,CEWE,BM,100.0,200000,2,0.48471230723814834
VERBENA BLUSH,LEONA,8.0,10.0,82.0,CEWE,EDP,100.0,200000,2,0.4842177385408983
VERBENA CHERRY BLOOM,FRENCH RIVIERA,3.07,10.0,86.93,UNISEX,EDP,250.0,200000,2,0.34493503760871547
VERBENA Elegant,CASCAVEL,9.9,5.0,85.1,CEWE,EDP,100.0,200000,2,0.11800732739137547
VERBENA Elegant,AMBROSIA,7.0,5.0,88.0,UNISEX,EDP,50.0,178000,1,0.6158772699308513
VERBENA ENDLESS,AF GIRLY TFR,2.29,10.0,87.71,CEWE,EDP,250.0,200000,2,0.34185097968907063
VERBENA FIRST LOVE,SWEET BABY,7.41,10.0,82.59,CEWE,EDP,100.0,200000,2,0.48828689734822894
VERBENA FOREVER,CHEERS WITH ME,3.72,10.0,86.28,UNISEX,EDP,250.0,200000,2,0.34703517279161233
VERBENA FOREVER,CHEERS WITH ME,3.72,10.0,86.28,UNISEX,EDP,100.0,200000,2,0.4508249996229487
VERBENA LUMINOUS,ADORABLE MIDNIGHT,5.97,10.0,84.03,CEWE,EDT,100.0,200000,2,0.4862679005277907
VERBENA Mystic,NOCTURNE,6.4,10.0,83.6,CEWE,EDT,100.0,200000,2,0.48815661291026147
VERBENA Mystic,INVITAS MOOD,5.7,5.0,89.3,UNISEX,EDT,100.0,200000,2,0.11659834880604311
VERBENA ORCHID,DE ORCHID,4.3,10.0,85.7,CEWE,EDP,100.0,200000,2,0.4639412076651392
